Tenure,MonthlyCharges,ContractType,SupportTickets,Churn
29.96056983613479,97.98710873172004,0,1,0
22.340828385945784,88.49267365825537,0,1,1
31.77226245720831,71.19260739840348,0,2,1
42.2763582768963,57.061264445888526,0,1,0
21.19015950331997,83.9644662722718,1,1,0
21.19035651660983,77.86970770843499,2,1,0
42.9505537860887,87.90386440055464,0,1,1
33.20921674983491,82.70343603363939,2,1,0
18.366307368780575,90.9910543063867,0,3,0
30.510720523031576,59.29529576878864,0,2,0
18.438987686250453,96.34788131268651,0,4,1
18.41124295715692,73.95199209384799,0,2,0
26.903547258792408,111.5052174525053,1,2,1
1.0406370641064253,56.216243638208645,1,2,0
3.300986009843607,104.71927606330499,0,2,1
17.252549649108328,73.95821566925295,0,0,0
11.846026555986914,56.97163992771103,0,1,1
27.770967991143287,60.32228331891357,0,2,1
13.103711093745467,63.5930538361136,0,1,0
7.0523555839764995,78.48331892803833,0,1,0
41.587785227058646,80.45670976071,1,1,0
21.290684394161573,58.52599992122842,2,1,0
24.810338456255085,69.51290815478035,0,1,0
6.903021765438519,112.84540717223727,2,0,0
17.467407305697808,104.55086340201423,0,2,1
25.33107107651839,78.72647339348065,0,2,1
10.188077070932366,70.760069563364,0,2,1
28.508376220148065,72.40062653436523,1,0,0
16.79233572097434,82.27035945460834,2,3,0
20.49967500248068,49.54414869603189,1,1,0
16.779520653247236,64.8524692515331,0,0,0
46.227338214107256,36.628318522448204,1,1,0
23.838033303144794,77.98446245210559,0,1,0
11.307468852529201,82.94391879405482,1,4,1
33.870538945238266,60.336270754012524,0,1,0
9.349876200347733,101.47973526580066,0,0,1
26.506363140057065,45.484686739953176,0,2,0
1.0,40.7125023958036,1,1,0
8.061767413218835,74.48903637119943,0,1,0
26.362334830429482,90.94196605224309,1,1,0
32.86159895994493,103.67855382915738,0,1,0
26.056419374279645,60.8223147426212,1,1,0
22.612220611341115,91.57361666862592,1,3,0
20.386755652928535,69.22983060998585,1,1,0
6.2577361155908715,66.54745400118361,0,0,0
15.361869499263497,87.67319874973344,0,0,1
18.47233474848255,83.0464575682684,0,1,0
36.68546671462699,38.47215686031501,1,3,0
28.12341947482154,99.53080699451792,0,0,0
2.8435181356471926,97.60182708294903,0,0,1
27.88900763273754,57.488745969809415,0,2,1
19.3790126350042,77.91607066874818,0,0,0
15.876935996328495,79.88060372565478,1,0,0
31.340115466090413,75.21347531647814,0,1,0
36.371994269951415,58.9938969230916,1,0,0
35.175361429394385,56.56753264123897,0,1,0
13.929389721328338,69.48891858017109,0,1,0
20.289451489785424,93.4545803851873,0,0,0
27.975161176842768,80.87200309188864,0,2,0
35.70654152546831,62.58771335827788,0,1,0
18.24990914585652,85.43397421296689,1,1,0
21.772092280034194,20.0,0,3,1
10.723980311927662,92.97531400744207,1,0,0
9.64552051103195,35.20572442443801,0,0,0
33.750309868730376,62.751181171937354,0,3,0
40.274880342849876,47.60660210747712,1,1,0
23.135878541035993,44.10637048558189,0,3,1
36.04239477470429,93.21653574757039,0,2,0
28.33963230057161,60.64597597376217,0,4,1
16.258562944738507,76.93007763461432,0,2,1
28.336747266100968,69.06158842241632,1,4,0
42.45643879759163,79.54081654446243,0,1,0
23.57008753068058,71.53643782120511,1,1,0
42.77572386976807,44.340155516228606,1,3,0
1.0,89.9253363889428,0,2,1
33.86283005250269,60.12486833677375,2,0,0
25.044564818858056,38.86836202680498,0,0,0
20.411911794409587,61.43769678068175,2,1,0
25.10112931842603,100.01519581268622,0,2,1
1.0,87.00443484226986,1,1,1
21.363937345949857,63.026957311842814,0,3,0
28.28535085814096,63.014845913631426,0,3,1
41.734728536898196,63.56729897565235,1,0,0
17.78075738071623,111.53495967121682,1,0,1
14.298076765281749,77.63870904463107,0,2,1
17.978915476985563,78.60083294382139,0,4,1
34.98482541242489,90.60566908063684,1,1,0
27.945013315916214,74.77578318053027,1,0,0
17.642877554795533,64.81915708358594,2,1,0
30.159209197360273,66.07300301830044,1,1,0
25.164930592176486,68.56797481171873,2,2,1
35.623739886394674,69.25555526980317,1,1,0
15.575362873471772,84.5525908727396,0,2,0
20.068054240826783,71.03891771614599,0,0,0
19.294702162414108,84.65280154431159,1,2,0
6.437820622414577,68.38566839782835,1,4,0
27.553443324774914,71.57270380632181,0,3,1
27.132663266158673,30.035986309357845,0,0,1
24.061361479709532,88.32655349404963,2,2,0
21.18495439949823,76.92976951795985,0,2,1
7.015551095395029,89.96020219719304,0,1,1
18.95225612681569,20.0,0,0,0
19.887425801678766,111.76749409561455,0,2,1
14.372672769340573,67.20820743689653,0,2,0
22.06457146000789,92.16365633475033,0,0,1
28.848610281774462,49.201881457489385,0,1,0
46.63423081452636,82.2554781012514,1,3,0
26.09493375398207,48.93168873652688,0,2,0
27.090604688673167,57.5246207860839,1,0,0
23.106649010805995,108.28062707733572,1,0,0
1.0,66.18635198473307,0,2,1
23.681833494609396,74.34865746359446,1,1,0
24.722762519292317,87.40135461377508,0,1,0
53.55890534982343,79.91363775945209,1,3,0
21.69166842262653,73.00837810287153,0,2,0
27.61856810800335,77.2992200493245,1,0,0
23.58345876353708,118.0683117047655,1,0,0
9.975863548565616,68.8476240593283,0,2,0
37.71387377418024,74.02198093429935,0,0,0
33.02319639224129,91.01308792015224,1,3,1
33.49238336451656,92.11051865915968,1,1,0
13.087350542463133,93.7406061112076,0,1,1
40.833531731233194,82.77460444058369,1,3,0
7.177787246492629,47.13990174539033,0,1,1
31.042285125603243,102.66863064602192,1,0,0
50.285467509719744,47.07309213962624,0,4,0
12.11356409843174,76.05270930478066,1,1,0
17.204427244766737,54.914482999612844,0,3,0
25.195816381051696,68.71723306814015,0,1,0
17.958292150605608,76.57524820606962,0,3,0
5.392038827206408,76.42714430900546,0,1,1
24.822755697672328,78.4384150847057,0,0,0
11.252355435286741,102.27422538117294,0,1,1
29.683109167622177,79.0706860302796,1,2,0
12.966909189194359,65.11686729418703,0,1,0
42.59921286021048,89.28174336576716,0,0,0
14.600960491965155,93.78940977849281,0,1,0
20.135261805531893,45.447843697260154,0,1,0
33.76220660843604,81.94800139699716,0,2,0
9.229628202792536,84.02345484621797,0,3,0
26.729519215249553,64.04872993280016,0,5,1
39.685713051389136,97.5141362662324,0,3,0
4.710201185265269,66.99888825934946,0,2,1
26.215606302387652,72.51152906943085,0,3,0
27.11859353098108,66.5385635143226,0,2,0
33.38187446132772,70.31158095162935,0,2,0
9.156591469463017,48.074498262095965,2,1,0
8.154520642988684,41.198982348114114,0,1,1
30.26329878740277,101.89010126449945,1,1,0
27.563816078798233,53.060773033633446,0,4,0
27.00591420415052,50.172153010873856,1,3,0
28.15737851396371,26.932197727925704,1,1,0
15.83970334105811,57.220765046209955,0,1,0
26.787044365932044,43.53820413185003,2,3,0
27.516869679584175,102.84030320272738,0,1,0
15.427782983683587,90.19634178685268,0,1,1
46.38929413373708,56.236993096445524,1,1,0
29.68599505094145,115.04871610688618,1,1,0
9.704358033568216,89.63530973983188,0,0,1
31.878643303605955,63.50337232982755,0,3,0
12.303819957272143,20.011885702528545,0,1,0
33.44501524490943,115.81885145181482,0,0,0
37.903146948088846,42.20855066472808,1,2,0
14.151812179779474,37.09202506086216,0,1,1
35.56051355093186,90.45140864019281,0,2,0
28.95337112323798,118.79504812678546,0,1,0
33.86472191993388,97.68545637021036,0,2,1
46.761515791847366,81.27818240104719,0,0,0
21.055342607965553,81.89508683330573,1,2,0
14.955166027710124,87.06831117560615,2,1,0
13.32582684449372,85.17857179573531,1,2,1
14.21027658041474,75.62382847938751,0,3,1
23.07477948703075,72.08402207903752,1,1,0
28.09382369779972,68.74813744200955,1,2,1
27.32028959196023,54.92070822266648,1,1,0
33.92619898843228,64.38649846266452,0,3,0
24.156022702534884,36.14086371609229,0,1,0
41.442408925887804,68.033207464105,0,1,0
20.824118001144527,50.228177856981645,0,1,0
56.642029999075426,47.92821365568458,0,1,0
31.508008173180073,73.59788302306957,0,0,0
13.71410932300461,97.84004572689199,0,1,1
11.149290023266651,88.36633212004627,1,1,1
29.789668982918222,38.58998792753645,0,1,0
21.31844657608979,50.207437268593246,0,1,0
32.568005929105105,88.81542375976431,2,3,1
29.678851494882537,50.35025212923381,2,0,0
23.126053048117527,65.50733700005951,1,1,0
13.83847538317914,81.00104198049104,2,2,0
5.821833303769624,50.633110902727296,0,0,0
18.641820575195748,72.1075101229192,2,2,0
34.27678553188167,43.319490101635914,0,1,0
26.56912492956245,57.97264712097572,0,3,0
9.051134655456144,76.39563868285074,0,1,1
26.078171110214186,38.14012532936661,0,4,1
28.62380855674604,78.80949475920798,0,0,0
13.393710765586404,69.60724402146637,1,2,0
25.844701271346334,81.04979908834297,1,1,0
24.698504621351997,74.47828268129322,0,1,0
10.284356426032524,97.28280859947688,0,6,1
28.2934483241794,72.50449005295815,1,2,0
30.72941431641881,61.41188917749494,1,1,0
36.996614918103326,72.44595006064567,0,2,0
36.645624624418836,80.86596058072776,1,5,0
7.467967584514907,70.97720140651408,0,1,1
12.746099521018527,70.81183382407765,0,3,1
30.180423206503917,55.96016624386489,2,1,0
30.165431410946507,56.74198164898103,0,1,1
30.180572235672575,41.94789456400613,0,0,0
70.23277788785666,104.99153486373879,1,3,0
30.850686128318003,45.1227352921743,1,3,0
37.62678768216719,56.141896044081854,0,2,1
35.448021161918426,55.63185468861605,0,1,0
31.816695015669577,87.89848753888883,0,1,0
20.216769064315855,64.10100643415944,1,2,0
33.10763064591921,94.95484145347467,0,0,1
14.726097425549138,56.53018751512263,0,0,0
21.158176719119894,75.57988324447604,2,2,0
18.17563742605076,53.293058934804854,0,2,1
24.98248967263587,112.90298255546776,0,2,0
51.77590280008211,46.248031619409744,0,0,0
1.5928176888990206,76.19641420454055,1,0,0
32.23512228449416,82.67553761864197,0,1,0
4.6474095457241775,78.27598194902997,0,2,0
18.336817610526797,66.29424682244583,1,0,0
37.067407163608394,67.40358600533148,0,1,0
24.771360229145554,70.87622943958219,0,1,0
11.067062664848326,67.05995996743023,0,3,0
15.41635548888038,89.27758233589819,0,0,1
32.15517298721611,114.21046003182703,0,0,0
15.235600419394359,58.85016429984333,0,1,0
26.5975030749837,42.60394040841844,0,2,0
24.546862078845766,68.23435903297491,0,1,0
16.180795828730197,120.0,1,4,1
49.72732907190391,53.926508640605384,2,2,0
31.607028267816133,102.78233610888135,1,0,0
1.0,103.55401628152882,1,1,0
26.237451777233133,58.92823516584011,0,3,1
16.058562422779346,81.37966158370551,2,2,0
34.22920001755469,102.56793246257077,0,1,0
14.489751138807591,62.41744518025026,2,0,0
22.623162702397213,65.92839279795277,2,0,0
30.059847347765487,58.366381721027125,1,3,0
34.389062330041455,49.704865386142664,2,3,0
9.596443115330686,57.01444909867986,0,0,1
19.98598516990862,45.52119466475487,0,2,0
18.300656266068525,70.68166936518452,0,0,1
16.160049209115456,54.60053537882717,0,4,1
45.185450883373164,74.67571823581495,0,0,0
28.859780531531467,38.88208707592745,1,1,0
8.869392547979459,76.61760464428914,2,2,0
35.014343364657314,86.6705792321785,0,0,1
49.4658743641516,30.12528714857089,1,1,0
36.389583126613765,77.48113139695144,2,0,0
5.767560408551839,94.55337984946584,2,3,0
18.189191125604985,45.807179626175895,2,3,0
39.20293379023947,103.45144773675406,0,1,0
15.507966412574632,78.38038018732091,2,2,0
29.325833137754742,55.89976288483182,1,0,0
33.29560864115204,68.88461844684588,0,1,0
12.876834341063004,81.16653825043444,0,3,0
23.2856957272584,71.52010782824823,1,3,0
1.0,80.77511984892739,0,0,0
11.707348303988521,51.586528138412675,1,0,0
20.969182183282076,73.38721648072156,1,1,0
9.026601816421806,41.725710061900394,0,2,0
43.588935647179625,67.775478773026,0,0,0
6.838303464472408,51.921847170704204,1,1,0
18.719466159636195,55.28940114820467,0,2,1
25.568886927433095,94.72186350420874,0,0,0
41.29527946879339,91.82620241188538,0,0,0
6.769654185846727,82.18276241814354,0,0,0
37.957965025859515,48.15374470654842,2,2,0
24.122796732235045,63.671831006103965,0,2,0
12.221896187424589,94.26195399958367,1,2,1
29.545241691159248,72.83433827279809,0,1,1
26.38871634688164,116.38659079963388,0,4,1
16.797397474094463,77.86635678788744,1,2,0
24.837625019880225,73.84098232980064,1,2,0
19.37623683765888,63.81767071594997,0,1,0
25.362208143014975,72.67081809564564,0,1,1
31.945568094252558,66.95060327238913,0,2,0
43.03220179374422,84.1621735337718,0,2,0
9.146214014077811,89.13404633589168,1,1,1
49.5964004958752,54.28021078984101,0,2,0
1.0,43.37534092884444,0,2,1
22.178578859573,33.27589253793407,0,0,0
31.059806477814913,80.15982653825087,2,1,0
27.371902412820393,47.93266787652253,2,0,0
16.527605762152874,26.942188140950343,0,3,1
21.502532995712695,77.77157209061929,1,1,0
18.083988784094004,119.85999034865581,0,2,1
16.92762291666946,69.87858176920213,0,2,1
34.1952251642523,86.76981548903284,1,0,0
28.28418583158057,71.6365871709513,2,4,0
15.68508485687215,68.02220693617714,2,2,1
34.79519850519901,88.38152965975537,0,1,0
27.68759425051931,64.19450911622697,0,0,0
33.75434542606752,75.34784628143805,1,1,0
31.555546103083348,76.43395612392027,0,1,0
14.05205986893513,56.63819092713902,0,0,0
17.277827517636364,89.84084699073045,0,3,1
32.967523261479144,66.50080486609183,1,2,0
31.324443185201577,54.885096810143104,0,0,0
23.749180872430223,80.73019687140807,0,2,0
25.407928599705382,52.030640364179256,2,1,0
39.3319787494611,70.56362314738257,0,0,1
16.90114333397004,69.81762006711593,0,2,0
30.565168574040452,91.71791131663156,0,4,1
21.57368817079327,79.49396465759905,0,3,1
21.387825561273356,69.49946082509712,0,2,0
37.185322223846285,86.35532598400574,0,2,0
33.904996187856355,97.80415098034626,1,1,0
33.762115632007664,81.15620612703725,0,1,0
39.665745685851945,70.20705239686761,2,3,0
24.25204609959311,43.76327535299681,0,2,0
32.18343565553957,48.69772673849255,0,1,0
20.276798920878527,63.89550591290665,0,2,0
27.889996229861307,57.809755956814335,0,2,0
22.438283347587785,66.26057394029108,1,0,0
25.163951579912617,71.13299849794214,0,2,0
31.141884305242964,80.59385508713461,0,0,0
14.18135180119833,68.59002443881818,1,1,0
49.10864730822552,79.73003287652404,2,3,0
11.927791422003576,71.2894882962024,1,4,1
9.429736646547214,30.490668672922574,0,3,0
37.89733048200081,51.21329212362491,1,1,0
33.49995232755523,67.1182488855677,0,2,1
31.48943780462586,45.806105143177845,0,0,0
31.54014611117136,81.99857459992408,0,3,1
23.853038725837024,100.61501664687395,0,1,0
13.232947542170022,94.37523703394633,0,1,1
24.909654698324715,65.73114258139584,0,0,0
15.87405946185466,99.81452273699904,1,0,0
35.70143680101302,72.97334914404223,0,1,1
22.235311421974338,63.258280577639205,0,1,1
14.094033638489861,57.7319467291812,0,1,0
20.14336990016408,63.95060627023744,2,1,0
28.955177451307495,62.236463629175425,0,1,1
17.2353053663523,73.40832444750976,0,0,0
14.133355253202822,73.2114796209973,1,3,0
26.92424653790295,70.0609204030683,1,1,0
